spotify_id,name,artists,daily_rank,daily_movement,weekly_movement,popularity,is_explicit
1Iq8oo9XkmmvCQiGOfORiz,Is It Over Now? (Taylor's Version) (From The Vault),Taylor Swift,1,4,49,83,False
71BqAINEnezjQfxE4VuJfq,"""Slut!"" (Taylor's Version) (From The Vault)",Taylor Swift,2,0,48,84,False
1hjRhYpWyqDpPahmSlUTlc,Style (Taylor's Version),Taylor Swift,3,-2,47,84,False
4NioO5R9sHEZh4cGzMHyNt,Say Don't Go (Taylor's Version) (From The Vault),Taylor Swift,4,0,46,83,False
5KD6AEm19QnMbfWpfoOHMl,Now That We Don't Talk (Taylor's Version) (From The Vault),Taylor Swift,5,2,45,83,False
2HafqoJbgXdtjwCOvNEF14,Si No Estás,iñigo quintero,6,12,-3,98,False
3rUGC1vUpkDG9CZFHMur1t,greedy,Tate McRae,7,13,-5,99,True
7iQXYTyuG13aoeHxGG28Nh,PERRO NEGRO,"Bad Bunny, Feid",8,16,-1,96,True
7x9aauaA9cu6tyfpHnqDLo,Seven (feat. Latto) (Explicit Ver.),"Jung Kook, Latto",9,14,-8,97,True
45wMBGri1PORPjM9PwFfrS,Blank Space (Taylor's Version),Taylor Swift,10,-7,40,83,False
56y1jOTK0XSvJzVv9vHQBK,Paint The Town Red,Doja Cat,11,16,-7,89,True
4MjDJD8cW7iVeWInc2Bdyj,MONACO,Bad Bunny,12,14,-6,97,True
045ZeOHPIzhxxsm8bq5kyE,Out Of The Woods (Taylor's Version),Taylor Swift,13,-5,37,82,False
1BxfuPKGuaTgP7aM0Bbdwr,Cruel Summer,Taylor Swift,14,14,-9,100,False
6T0sEnqjmHISIKwFETeeiP,Suburban Legends (Taylor's Version) (From The Vault),Taylor Swift,15,-6,35,81,False
1hR8BSuEqPCCZfv93zzzz9,Welcome To New York (Taylor's Version),Taylor Swift,16,-10,34,83,False
1K39ty6o1sHwwlZwO6a7wK,Wildest Dreams (Taylor's Version),Taylor Swift,17,-5,33,80,False
6GXgd1BPD9bUpqw5AntGV5,All You Had To Do Was Stay (Taylor's Version),Taylor Swift,18,-8,32,81,False
3pv7Q5v2dpdefwdWIvE7yH,Shake It Off (Taylor's Version),Taylor Swift,19,-8,31,81,False
2vPMoMDXxu9uX1igWZmXSG,New Romantics (Taylor's Version),Taylor Swift,20,-5,30,80,False
5mjYQaktjmjcMKcUIcqz4s,Strangers,Kenya Grace,21,8,-13,98,False
5RqSsdzTNPX1uzkmlHCFvK,QLONA,"KAROL G, Peso Pluma",22,9,-11,94,True
43y1WpBdnEy5TR9aZoSQL9,I Wish You Would (Taylor's Version),Taylor Swift,23,-9,27,80,False
2ByBBvpR9b7IynvRmnG7kG,Clean (Taylor's Version),Taylor Swift,24,-8,26,80,False
5aIVCx5tnk0ntmdiinnYvw,Water,Tyla,25,5,-13,94,False
64FzgoLZ3oXu2SriZblHic,Bad Blood (Taylor's Version),Taylor Swift,26,-13,24,81,False
7ABLbnD53cQK00mhcaOUVG,LALA,Myke Towers,27,6,-14,97,True
3vkCueOmm7xQDoJ17W1Pm3,My Love Mine All Mine,Mitski,28,4,-18,96,False
75W3SngKzTuoQ94uLf3y82,How You Get The Girl (Taylor's Version),Taylor Swift,29,-12,21,80,False
2f0GI2ZLUtbGqFx8t2Gk6A,I Know Places (Taylor's Version),Taylor Swift,30,-11,20,79,False
6uIIdjYTxxpWOyWuVXrKQO,Que Onda,"Calle 24, Chino Pacas, Fuerza Regida",31,4,-15,94,True
2ve0kuaWUCt4Zx8x4bf1MR,Wonderland (Taylor's Version),Taylor Swift,32,-11,18,79,False
5QVVjX0ZItqlVpEuVCM9Yg,This Love (Taylor’s Version),Taylor Swift,33,-11,17,78,False
4UwqOWDpdeIDVQDuKT6iza,You Are In Love (Taylor's Version),Taylor Swift,34,-9,16,78,False
3cDyocF0Ibdfs1SFQk5cLZ,Lollipop,Darell,35,2,-14,92,True
01qFKNWq73UfEslI0GvumE,3D (feat. Jack Harlow),"Jung Kook, Jack Harlow",36,-2,-27,89,True
4bw8mcDUSRWfQo63ZTYRnU,Según Quién,"Maluma, Carin Leon",37,1,-20,88,True
7mXuWTczZNxG5EDcjFEuJR,LADY GAGA,"Peso Pluma, Gabito Ballesteros, Junior H",38,3,-19,95,True
2YSzYUF3jWqb9YP9VXmpjE,IDGAF (feat. Yeat),"Drake, Yeat",39,-3,-24,94,True
5XeFesFbtLpXzIVDNQP22n,I Wanna Be Yours,Arctic Monkeys,40,4,-22,95,False
1Qrg8KqiBpW07V7PNxwwwL,Kill Bill,SZA,41,9,-12,92,False
1kuGVB7EU95pJObxwvfwKS,vampire,Olivia Rodrigo,42,5,-20,96,True
59NraMJsLaMCVtwXTSia8i,Prada,"cassö, RAYE, D-Block Europe",43,0,-10,94,True
4Dvkj6JhhA12EX05fT7y2e,As It Was,Harry Styles,44,2,-14,95,False
0rKWJnmo6Q0ovoPOLoLm0t,TOO MUCH,"The Kid LAROI, Jung Kook, Central Cee",45,-6,-31,90,True
5PyDJG7SQRgWXefgexqIge,Agora Hills,Doja Cat,46,2,-19,80,True
1odExI7RdWc4BT515LTAwj,Daylight,David Kushner,47,2,-24,95,False
3nNmRE0DxHC6ZaKkrpUumS,FINA,"Bad Bunny, Young Miko",48,-3,-28,93,True
7MXVkk9YMctZqd1Srtv4MB,Starboy,"The Weeknd, Daft Punk",49,1,-21,94,True
4rXLjWdF2ZZpXCVTfWcshS,fukumean,Gunna,50,0,-19,95,True
